tweet,polarity_score,label
"['anies', 'tantang', 'said']",-4,kontra
[],0,netral
"['kode', 'opung', 'luhut', 'calon', 'presiden', 'acara', 'kib', 'pimpin', 'airlangga', 'hartarto', 'gimana', 'arti', 'kode', 'opung']",-2,kontra
"['rocky', 'gerung', 'bicara', 'langsung', 'perintah', 'jokowi', 'amat', 'politik', 'rocky', 'gerung', 'dapat', 'perintah', 'era', 'presiden', 'jokowi', 'turut', 'presiden']",9,pro
[],0,netral
"['rgtv', 'channel', 'id', 'ajak']",1,pro
"['wali', 'kota', 'solo', 'gibran', 'rakabuming', 'raka', 'aku', 'terima', 'kritik', 'amat', 'politik', 'rocky', 'gerung', 'temu', 'tweet']",4,pro
"['sekolah', 'tanda', 'ajar', 'bom', 'pikir']",-2,kontra
"['quote', 'gibran', 'kalang', 'istana', 'telepon', 'gibran', 'ken', 'kunjung', 'sila', 'kunjung', 'bicara', 'ucap', 'publik', 'sisi', 'ekonomi', 'politik']",-5,kontra
"['kritik', 'habis', 'rocky', 'gerung', 'gibran', 'sadar', 'ajar', 'tweet']",-6,kontra
"['gibran', 'kritik', 'rocky', 'gerung', 'otak', 'kosong', 'dungu', 'wali', 'kota', 'solo', 'gibran', 'rakabuming', 'aku', 'kritik', 'rocky', 'gerung', 'tandang', 'diam', 'amat', 'politik']",-17,kontra
"['gibran', 'rocky', 'gerung', 'orang', 'jenius', 'masuk', 'solo', 'baca', 'lengkap']",0,netral
"['gibran', 'rocky', 'gerung', 'temu', 'bahas', 'dungudunguan']",4,pro
"['saksi', 'lengkap', 'youtube', 'rgtv', 'channel', 'id', 'temu', 'link']",2,pro
"['gibran', 'rakabuming', 'aku', 'semprot', 'habis', 'rocky', 'gerung', 'otak', 'kosong', 'dungu', 'bahas']",-11,kontra
"['presiden', 'xi', 'jinping', 'kudeta', 'dampak', 'indonesia']",0,netral
[],0,netral
"['tantang', 'juara', 'kelas', 'terbang', 'one', 'pride', 'mma', 'indonesia', 'rocky', 'gerung', 'dukung', 'tarung', 'ring', 'id']",-6,kontra
"['duel', 'sengit', 'rocky', 'gerung', 'tantang', 'sandang', 'juara', 'kelas', 'terbang', 'one', 'pride', 'mma', 'indonesia', 'menang', 'id']",-12,kontra
[],0,netral
"['awal', 'hari', 'semangat', 'selamat', 'senin', 'sobat', 'akal', 'sehat', 'salam', 'akal', 'sehat']",14,pro
"['gibran', 'guru', 'rocky', 'gerung']",3,pro
"['reaksi', 'gibran', 'rakabuming', 'singgung', 'rocky', 'gerung', 'oligarki', 'amat', 'politik', 'rocky', 'gerung', 'cerita', 'momen', 'temu', 'wali', 'kota', 'solo', 'putra', 'presiden']",0,netral
"['aliansi', 'serikat', 'buruh', 'satu', 'ama', 'quen', 'of', 'longmarct', 'gerak', 'puncak', 'istana', 'negara', 'jakarta', 'sep']",-4,kontra
"['rocky', 'gerung', 'temu', 'gibran', 'rakabuming', 'nggak', 'urus', 'politik', 'unggah', 'foto', 'media', 'sosial', 'tuai', 'sorot', 'publik', 'lantar', 'rocky', 'gerung', 'gibran', 'rakabuming']",6,pro
"['tweet', 'bahas', 'penjajagan', 'pasang', 'mas', 'tweet', 'bang', 'manyambut', 'politik']",5,pro
"['saksi', 'tarung', 'youtube', 'rgtv', 'channel', 'id', 'link']",-2,kontra
"['saksi', 'tarung', 'youtube', 'rgtv', 'channel', 'id', 'link']",-2,kontra
"['tamu', 'tebak', 'clue', 'pria', 'lahir', 'magetan', 'jawa', 'timur', 'hobi', 'muay', 'thai', 'jual', 'bakso']",5,pro
"['saksi', 'tarung', 'youtube', 'rgtv', 'channel', 'id', 'link']",-2,kontra
"['heran', 'sambang', 'gibran', 'rakabuming', 'rocky', 'gerung', 'benci', 'istana', 'amat', 'politik', 'rocky', 'gerung', 'cerita', 'momen', 'temu', 'wali', 'kota', 'solo', 'putra']",6,pro
"['nicho', 'silalahi', 'sorot', 'luhut', 'orang', 'jawa', 'maksa', 'presiden', 'statemen', 'bahaya', 'nicho', 'silalahi', 'giat', 'media', 'sosial', 'aktivis', 'sorot', 'nyata']",-1,kontra
"['saksi', 'tarung', 'youtube', 'rgtv', 'channel', 'id', 'link']",-2,kontra
"['anies', 'pndah', 'dr', 'jkt', 'beliau', 'cm', 'pindah', 'dr', 'merdeka', 'selatan', 'merdeka', 'utara']",-2,kontra
"['rocky', 'gerung', 'bukabukaan', 'obrol', 'jam', 'bareng', 'gibran']",0,netral
"['buzzerp', 'visible', 'confusion']",0,netral
